camera_id,Estimated_num_group
C2-1,2.0208823392544093
C3-2,1.0012366478549972
D4-1,0.03625456292912209
D5-1,1.0024717683009443
E2-1,0.0012366478549972137
E4-2,1.0012366478549972
E5-1,1.0012366478549972
F2-1,1.0012996346838876
F3-1,1.8713212806613702
F4-1,1.9309673542706713
F5-1,0.0012366478549972137
G5-2,2.030519621501363
G5-3,1.5381981896815475
G6-1,0.0012996346838874697
G6-2,2.239277758042228
H1-2,0.0012996346838874697
H2-2,1.0423026596301674
H2-3,2.014693702893564
H2-4,3.024403180505469
H2-5,0.2278487865001688
H4-1,0.0012996346838874697
I3-1,2.113115330961872
J2-1,3.617306510023672
K3-1,2.952653883513778
K4-1,30.62535969751994
L3-1,0.9157007409836302
M4-2,10.53716870706243
