camera_id,estimated_number_of_group,weight_mean_group_size,weight_site_abundance,time_period_starts,time_period_ends
C2-1,2.0208823392544093,1.3954154727793697,2.81997048486217,2014-04-24,2014-09-25
C3-2,1.0012366478549972,1,1.0012366478549972,2014-04-24,2014-09-25
D4-1,0.03625456292912209,NA,NA,2014-04-24,2014-09-25
D5-1,1.0024717683009443,1.1265377855887522,1.1293223259769865,2014-04-24,2014-09-25
E2-1,0.0012366478549972137,1.8650793650793651,0.002306446396224962,2014-04-24,2014-09-25
E4-2,1.0012366478549972,1.8650793650793651,1.8673858114755901,2014-04-24,2014-09-25
E5-1,1.0012366478549972,1.134920634920635,1.1363241320894018,2014-04-24,2014-09-25
F2-1,1.0012996346838876,3.0000000000000004,3.0038989040516633,2014-04-24,2014-09-25
F3-1,1.8713212806613702,1.460431654676259,2.7329368343471807,2014-04-24,2014-09-25
F4-1,1.9309673542706713,1.306184012066365,2.5221986859704395,2014-04-24,2014-09-25
F5-1,0.0012366478549972137,1,0.0012366478549972137,2014-04-24,2014-09-25
G5-2,2.030519621501363,1,2.030519621501363,2014-04-24,2014-09-25
G5-3,1.5381981896815475,1,1.5381981896815475,2014-04-24,2014-09-25
G6-1,0.0012996346838874697,1.134920634920635,0.001474982220602446,2014-04-24,2014-09-25
G6-2,2.239277758042228,NA,NA,2014-04-24,2014-09-25
H1-2,0.0012996346838874697,NA,NA,2014-04-24,2014-09-25
H2-2,1.0423026596301674,1.9169278996865204,1.998019048162531,2014-04-24,2014-09-25
H2-3,2.014693702893564,1.9215686274509804,3.8713722134033195,2014-04-24,2014-09-25
H2-4,3.024403180505469,1.547581903276131,4.680511630361038,2014-04-24,2014-09-25
H2-5,0.2278487865001688,NA,NA,2014-04-24,2014-09-25
H4-1,0.0012996346838874697,1,0.0012996346838874697,2014-04-24,2014-09-25
I3-1,2.113115330961872,1.4890829694323144,3.1466040517816527,2014-04-24,2014-09-25
J2-1,3.617306510023672,1.2277526395173453,4.44115761562484,2014-04-24,2014-09-25
K3-1,2.952653883513778,3.539568345323741,10.451120220782581,2014-04-24,2014-09-25
K4-1,30.62535969751994,1.5254237288135593,46.71665038604736,2014-04-24,2014-09-25
L3-1,0.9157007409836302,2.054441260744986,1.881253384771527,2014-04-24,2014-09-25
M4-2,10.53716870706243,1.4890829694323144,15.690718467721783,2014-04-24,2014-09-25
